#1		
double	comax(65,2)	
#time(s)	powerAC(W)	
#Start	date	2016-06-29
0	0	
19800	0	
20700	0	
21600	21	
22500	31	
23400	35	
24300	39	
25200	41	
26100	44	
27000	47	
27900	49	
28800	62	
29700	286	
30600	406	
31500	463	
32400	512	
33300	559	
34200	604	
35100	643	
36000	668	
36900	702	
37800	730	
38700	768	
39600	789	
40500	813	
41400	832	
42300	844	
43200	858	
44100	874	
45000	882	
45900	884	
46800	896	
47700	890	
48600	899	
49500	900	
50400	892	
51300	889	
52200	884	
53100	864	
54000	857	
54900	830	
55800	807	
56700	815	
57600	821	
58500	728	
59400	479	
60300	532	
61200	664	
62100	567	
63000	500	
63900	480	
64800	428	
65700	392	
66600	314	
67500	207	
68400	142	
69300	62	
70200	56	
71100	53	
72000	49	
72900	45	
73800	40	
74700	26	
75600	0	
86000	0	
