#1
double	comax(59,2)
#time(s)	powerAC(W)
#Start	date	2016-08-08
0	0
22500	0
23400	0
24300	29
25200	33
26100	37
27000	40
27900	45
28800	114
29700	257
30600	322
31500	375
32400	430
33300	483
34200	532
35100	569
36000	607
36900	647
37800	688
38700	720
39600	749
40500	776
41400	797
42300	817
43200	835
44100	853
45000	866
45900	879
46800	892
47700	895
48600	894
49500	882
50400	881
51300	875
52200	863
53100	849
54000	827
54900	807
55800	785
56700	758
57600	720
58500	679
59400	652
60300	611
61200	569
62100	525
63000	477
63900	426
64800	374
65700	314
66600	256
67500	202
68400	154
69300	91
70200	46
71100	43
72000	40
72900	0
86000	0
