#1									
double	trina(5994,10)								
#time(s)	irradiance(W/m2)	powerAC(W)	UAC(V)	IAC(A)	powerDC(W)	VDC(V)	IDC(A)	T1(degC)	T2(degC)
#2016-06-29 to 2016-10-04 (5875200 seconds)
0	0.0	0	225	0.43	0	199	0.08	288.4	288.8
21785	0.0	0	225	0.43	0	199	0.08	288.4	288.8
22477	0.0	2	224	0.56	15	206	0.14	288.6	288.8
23377	4.7	12	224	0.56	29	203	0.16	288.4	288.8
24277	4.7	16	224	0.62	34	212	0.31	288.8	289.1
25177	23.5	45	225	0.84	67	222	0.6	288.8	289.0
26077	61.0	106	226	0.7	134	220	0.42	289.0	289.3
26977	42.2	68	225	0.61	93	214	0.31	289.1	289.5
27877	23.5	44	225	0.59	67	211	0.25	289.1	289.5
28777	14.1	33	226	0.64	54	216	0.34	289.1	289.3
29677	28.2	52	225	0.83	76	225	0.6	288.8	289.0
30577	61.0	106	225	1.01	136	228	0.8	288.8	289.0
31477	84.5	150	225	1.64	185	234	1.59	289.0	289.1
32377	183.0	325	225	1.55	375	233	1.54	289.1	289.9
33277	178.3	312	224	1.57	361	232	1.58	289.9	290.9
34177	178.3	318	224	1.71	369	231	1.72	290.2	291.5
35077	192.4	347	224	1.51	401	231	1.51	290.6	291.8
35977	168.9	301	224	1.82	351	232	1.86	290.8	292.0
36877	206.5	376	226	2.52	433	231	2.67	290.8	292.2
37777	300.3	547	225	2.69	619	230	2.87	291.1	292.9
38677	328.4	590	225	2.34	663	231	2.46	292.0	294.2
39577	286.2	504	225	2.53	572	231	2.67	292.0	294.4
40477	309.7	549	225	2.68	619	229	2.87	292.6	294.8
41377	328.4	585	225	2.41	659	231	2.53	293.1	295.7
42277	295.6	520	225	2.92	589	227	3.17	293.1	295.5
43177	361.3	645	226	3.77	724	224	4.22	293.8	296.8
44077	483.3	850	225	2.97	946	225	3.25	294.8	298.3
44977	375.4	655	225	2.58	735	227	2.78	295.5	298.7
45877	319.1	563	225	2.6	635	228	2.8	295.3	298.1
46777	319.1	568	226	4.21	641	223	4.75	294.9	297.6
47677	544.3	956	226	5.61	1062	213	6.66	295.3	298.5
48577	802.3	1286	227	5.96	1425	208	7.32	298.0	302.8
49477	868.0	1376	226	5.43	1524	206	6.68	299.7	304.6
50377	783.6	1246	226	5.68	1382	205	7.05	301.6	307.0
51277	825.8	1307	226	5.31	1450	207	6.51	302.6	308.2
52177	764.8	1217	226	3.83	1351	211	4.58	303.2	308.6
53077	534.9	866	226	3.39	968	216	3.92	303.8	308.8
53977	441.1	760	226	3.84	853	215	4.48	301.8	305.4
54877	516.1	866	224	3.51	966	216	4.03	302.0	306.2
55777	464.5	781	225	3.99	874	215	4.65	302.0	306.4
56677	534.9	898	224	3.51	1001	213	4.11	302.0	306.8
57577	464.5	784	225	4.5	877	213	5.32	303.0	307.8
58477	619.4	1019	224	4.19	1134	211	4.96	303.6	308.4
59377	572.4	944	224	3.9	1051	213	4.57	303.8	308.6
60277	525.5	875	224	3.39	977	214	3.93	304.0	308.4
61177	455.1	757	224	2.19	846	216	2.46	303.8	308.2
62077	272.1	468	224	1.87	534	220	2.02	303.0	306.6
62977	225.2	387	224	1.93	447	223	2.07	301.6	304.2
63877	229.9	403	226	1.82	463	223	1.94	300.9	303.0
64777	215.8	378	225	1.28	437	224	1.31	300.3	302.4
65677	145.5	248	225	1.07	295	223	1.06	299.7	301.2
66577	112.6	197	226	1.05	238	225	1.02	298.7	299.7
67477	112.6	192	226	0.84	231	223	0.76	298.1	299.1
68377	84.5	137	225	0.74	172	220	0.65	297.8	298.5
69277	70.4	111	225	0.61	143	218	0.48	296.8	297.2
70177	46.9	77	225	0.61	105	215	0.48	296.2	296.4
71077	46.9	78	226	0.57	106	215	0.42	295.9	295.7
71977	37.5	65	225	0.49	91	201	0.24	295.3	295.1
72877	14.1	28	224	0.48	49	184	0.11	295.3	294.9
73777	0.0	2	225	0	21	192	0.04	294.8	294.2
74677	0.0	0	225	0	7	149	0.04	294.6	294.0
75577	0.0	0	226	0	6	83	0.01	294.2	293.5
104377	0.0	0	197	0	0	138	0.05	288.3	287.7
106177	0.0	0	197	0	0	138	50	287.9	287.6
106255	0.0	0	224	0.51	0	206	0.08	287.9	287.6
107077	0.0	2	223	0.56	17	210	0.15	288.4	288.1
107977	4.7	16	225	0.57	34	212	0.2	288.4	288.3
108877	9.4	25	225	0.64	44	218	0.32	288.4	288.3
109777	28.2	49	225	0.78	71	225	0.51	288.8	288.8
110677	51.6	90	224	0.79	117	225	0.53	288.6	288.8
111577	56.3	94	224	0.92	121	228	0.68	288.8	289.0
112477	75.1	127	226	0.58	158	210	0.23	288.8	289.3
113377	14.1	28	225	0.56	49	203	0.18	288.8	289.1
114277	9.4	19	223	0.55	38	202	0.13	288.6	288.6
115177	0.0	8	223	0.55	27	210	0.14	288.1	287.7
116077	4.7	13	222	0.59	32	216	0.25	287.7	287.0
116977	18.8	34	222	0.62	55	213	0.29	287.0	286.5
117877	23.5	42	222	0.69	64	221	0.41	286.5	286.1
118777	37.5	66	222	0.67	91	220	0.39	286.3	286.1
119677	32.8	62	222	0.8	88	226	0.55	286.5	286.5
120577	56.3	96	222	0.92	125	228	0.68	286.5	286.7
121477	70.4	124	222	1.06	157	230	0.84	286.1	286.3
122377	89.1	158	222	1.4	195	235	1.22	286.3	286.7
123277	136.1	243	223	1.6	288	236	1.46	286.5	286.8
124177	159.5	296	223	1.86	347	235	1.86	286.8	287.4
125077	206.5	384	223	1.47	441	234	1.45	287.6	287.9
125977	159.5	292	223	1.35	341	233	1.32	288.1	288.3
126877	140.8	263	223	1.11	309	230	1.06	288.3	288.4
127777	112.6	207	223	1.27	247	232	1.23	288.3	288.3
128677	136.1	245	223	1.03	289	231	0.97	288.1	288.1
129577	103.2	188	224	1.3	227	235	1.27	287.9	287.7
130477	140.8	254	223	0.9	299	229	0.83	287.6	287.6
131377	84.5	155	223	0.91	191	230	0.82	287.7	287.7
132277	84.5	156	223	0.92	192	231	0.84	287.6	287.4
133177	89.1	160	223	1.17	196	237	1.1	287.4	287.2
134077	126.7	221	223	1.21	264	238	1.15	287.4	287.2
134977	126.7	233	223	1.67	276	241	1.62	287.6	287.4
135877	187.7	340	224	1.57	393	237	1.53	287.7	287.9
136777	173.6	314	224	1.64	365	238	1.63	288.3	288.6
137677	187.7	336	225	2.5	390	236	2.6	288.4	288.6
138577	295.6	545	225	2.49	616	232	2.63	289.0	289.7
139477	295.6	543	225	1.63	614	234	1.64	290.0	291.1
140377	187.7	333	225	2.46	385	233	2.58	290.0	290.9
141277	286.2	533	223	1.99	603	229	2.07	290.2	290.9
142177	225.2	418	223	1.61	477	232	1.61	290.6	291.8
143077	178.3	326	223	2.15	377	234	2.21	290.8	291.5
143977	248.7	454	224	2.84	518	228	3.04	290.6	291.3
144877	347.2	621	224	2.46	698	229	2.6	291.6	293.1
145777	290.9	529	224	4.75	598	222	5.37	292.0	293.3
146677	619.4	1077	224	3.26	1193	220	3.67	292.9	294.8
147577	412.9	724	225	3.78	809	224	4.2	294.8	297.0
148477	478.6	850	224	3.67	946	222	4.11	294.2	295.9
149377	469.2	822	224	3.08	915	223	3.4	295.1	297.6
150277	384.8	681	225	2	762	224	2.13	295.5	297.8
151177	234.6	419	225	1.15	480	225	1.15	294.9	296.4
152077	122.0	218	224	0.78	260	222	0.7	293.6	294.4
152977	70.4	124	225	0.71	157	224	0.6	292.2	292.4
153877	61.0	105	225	0.67	136	224	0.54	291.5	291.5
154777	56.3	93	224	0.63	122	224	0.48	291.3	291.1
155677	46.9	82	223	0.51	110	211	0.3	290.8	290.8
156577	18.8	42	223	0.49	65	212	0.25	290.4	290.2
157477	14.1	33	224	0.49	54	210	0.26	290.0	289.7
158377	14.1	35	224	0.49	56	203	0.21	289.9	289.7
159277	9.4	24	224	0.47	44	195	0.16	289.7	289.3
160177	4.7	13	225	0.48	32	183	0.09	289.7	289.3
161077	0.0	0	225	0.17	17	198	0.05	289.5	289.1
161977	0.0	-1	225	170	9	198	50	289.3	289.0
161980	0.0	0	225	0.06	0	210	0.01	289.3	289.0
162877	0.0	0	225	0	2	108	0.01	289.1	288.8
163777	0.0	0	225	0	0	83	0	289.0	288.6
190777	0.0	0	225	0	0	83	0	285.6	285.2
192430	0.0	0	206	0.12	0	161	0.03	285.6	285.2
192577	0.0	0	224	0.54	2	212	0.09	285.4	285.2
193477	0.0	4	224	0.55	20	213	0.14	285.4	285.0
194377	4.7	14	224	0.56	30	213	0.17	285.4	285.0
195277	4.7	20	223	0.56	38	214	0.19	285.4	285.2
196177	9.4	25	224	0.57	43	215	0.22	285.6	285.6
197077	9.4	28	224	0.58	48	216	0.24	285.8	285.9
197977	14.1	32	225	0.6	52	227	0.26	286.1	286.5
198877	14.1	38	223	0.62	59	236	0.28	286.3	286.7
199777	18.8	46	225	0.64	69	237	0.31	286.3	286.8
200677	46.9	52	223	0.66	76	249	0.33	286.7	287.2
201577	258.1	58	223	0.97	83	259	0.65	286.5	288.6
202477	305.0	137	224	2.91	170	230	3.1	287.6	291.1
203377	361.3	639	225	3.29	714	226	3.61	289.1	292.7
204277	408.2	734	225	3.64	818	225	4.02	290.6	294.0
205177	455.1	816	225	3.96	906	224	4.42	291.5	294.9
206077	506.7	895	225	4.28	993	223	4.81	292.4	295.9
206977	549.0	970	225	4.56	1075	219	5.22	293.3	297.2
207877	600.6	1037	225	4.83	1150	217	5.6	294.4	298.5
208777	647.5	1099	225	5.08	1218	215	5.94	295.9	300.7
209677	689.7	1157	225	5.31	1281	214	6.26	296.8	301.6
210577	732.0	1211	224	5.49	1341	211	6.57	298.0	303.2
211477	769.5	1254	225	5.66	1389	208	6.86	298.9	304.4
212377	807.0	1293	225	5.81	1432	206	7.14	300.5	306.2
213277	844.6	1332	225	5.98	1476	205	7.35	302.2	308.0
214177	877.4	1368	225	6.05	1515	204	7.51	303.4	309.6
215077	900.9	1388	225	6.16	1539	203	7.71	304.2	310.6
215977	924.3	1415	225	5.42	1569	202	6.77	305.2	310.8
216877	811.7	1239	225	6.2	1377	201	7.82	305.8	311.0
217777	943.1	1425	225	6.22	1580	201	7.88	306.0	311.2
218677	957.2	1429	226	6.34	1587	199	8.14	307.6	313.2
219577	990.0	1461	226	5.97	1622	200	7.61	308.4	313.8
220477	915.0	1372	225	6.21	1525	198	7.97	308.6	313.4
221377	971.3	1428	225	4.73	1586	203	5.87	309.0	313.8
222277	708.5	1073	225	4.88	1197	205	6	308.6	312.8
223177	722.6	1111	225	3.45	1238	204	4.19	308.2	312.0
224077	483.3	769	226	6.41	863	201	8.11	307.8	311.2
224977	990.0	1477	226	6.01	1637	194	7.89	308.6	313.0
225877	957.2	1384	226	6.19	1537	197	8.01	311.0	316.0
226777	976.0	1428	225	5.88	1585	196	7.62	311.6	316.5
227677	924.3	1346	224	5.75	1497	196	7.4	312.0	316.9
228577	900.9	1309	224	5.5	1455	197	7.02	313.6	318.5
229477	849.3	1252	225	5.46	1392	201	6.89	313.6	317.9
230377	835.2	1247	225	5.23	1386	202	6.56	313.2	317.1
231277	788.3	1194	224	4.59	1328	204	5.64	313.0	316.7
232177	680.4	1037	224	3.5	1153	207	4.15	313.0	316.5
233077	483.3	775	223	2.1	871	207	2.4	310.6	312.6
233977	272.1	443	224	3.45	506	213	3.97	308.0	309.0
234877	459.8	766	224	3.07	856	210	3.56	307.4	308.2
235777	403.5	677	223	3.43	758	213	3.97	307.4	309.0
236677	455.1	761	224	3.01	850	215	3.45	307.8	310.0
237577	398.8	664	224	2.49	745	205	2.96	307.0	308.6
238477	347.2	538	224	1.92	609	183	2.51	306.4	307.8
239377	290.9	402	224	1.42	461	175	1.87	306.2	307.6
240277	239.3	278	224	0.61	326	234	0.44	306.2	307.4
241177	192.4	76	224	0.57	104	223	0.39	306.2	306.2
242077	75.1	62	224	0.54	89	218	0.35	303.0	303.4
242977	28.2	53	224	0.52	79	215	0.31	300.7	299.3
243877	23.5	45	224	0.49	68	205	0.25	299.1	297.4
244777	14.1	31	225	0.48	52	199	0.19	298.5	296.6
245677	9.4	18	224	0.48	38	198	0.16	297.6	295.7
246577	4.7	14	224	0.48	33	184	0.12	297.2	295.1
247477	0.0	5	224	0.4	23	178	0.06	296.8	294.8
248377	0.0	-3	225	0	12	174	0.04	296.1	294.0
249277	0.0	0	0	0	6	83	0.01	295.7	293.5
276277	0.0	0	138	0	0	82	0.07	287.7	285.4
278077	0.0	0	138	0	0	82	70	287.2	284.9
278423	0.0	0	224	0.34	0	191	0.06	287.2	284.9
278977	0.0	0	224	0.55	9	208	0.1	287.4	285.2
279877	0.0	5	225	0.56	21	213	0.13	287.2	285.0
280777	4.7	13	224	0.56	30	212	0.17	287.2	285.2
281677	4.7	19	225	0.57	37	214	0.19	287.2	285.4
282577	9.4	24	226	0.58	43	214	0.22	287.2	285.4
283477	14.1	28	225	0.58	48	215	0.23	287.2	285.6
284377	14.1	31	225	0.6	51	225	0.25	287.6	286.3
285277	14.1	36	224	0.62	57	235	0.28	287.6	286.5
286177	18.8	45	223	0.63	67	235	0.3	287.7	286.8
287077	42.2	48	224	0.65	71	246	0.32	287.9	287.2
287977	248.7	55	223	0.93	80	256	0.62	288.3	289.3
288877	300.3	127	222	2.84	160	226	3.04	289.3	292.7
289777	347.2	618	224	3.19	690	222	3.54	290.9	294.8
290677	398.8	708	224	3.51	790	220	3.95	292.9	296.8
291577	445.7	784	225	3.81	871	218	4.35	294.4	298.3
292477	497.4	857	224	4.11	951	216	4.75	295.9	300.5
293377	544.3	927	224	4.4	1027	214	5.13	297.2	301.8
294277	586.5	993	224	4.65	1102	211	5.5	298.5	303.0
295177	633.4	1050	224	4.86	1165	208	5.85	299.7	305.0
296077	680.4	1103	225	5.07	1223	207	6.19	301.2	306.6
296977	722.6	1157	225	5.29	1283	206	6.47	302.4	307.8
297877	760.1	1207	224	5.43	1339	202	6.76	302.6	307.4
298777	797.7	1237	225	5.58	1373	201	7.01	304.4	310.4
299677	839.9	1274	225	5.68	1413	198	7.24	306.2	312.2
300577	868.0	1299	225	5.78	1441	198	7.36	307.2	313.0
301477	886.8	1320	225	5.83	1465	197	7.5	307.6	313.4
302377	910.3	1336	225	5.95	1484	197	7.66	308.6	314.4
303277	929.0	1363	225	5.96	1514	195	7.76	309.8	315.2
304177	943.1	1362	224	5.98	1514	194	7.8	312.0	317.3
305077	952.5	1362	224	6.04	1514	192	7.96	313.4	319.1
305977	971.3	1376	224	6.08	1531	193	7.97	314.2	319.9
306877	980.6	1387	223	6.17	1543	194	8.02	314.4	319.9
307777	990.0	1402	226	6.07	1559	194	8	313.4	318.7
308677	990.0	1399	226	6.01	1556	193	7.93	313.4	318.3
309577	976.0	1382	225	6.06	1537	194	7.93	313.8	318.1
310477	966.6	1391	225	5.99	1546	195	7.8	314.0	317.5
311377	952.5	1371	225	5.89	1525	196	7.64	314.0	317.3
312277	929.0	1348	225	5.83	1499	196	7.55	314.2	317.5
313177	919.6	1334	225	5.65	1483	199	7.21	314.4	317.9
314077	877.4	1295	225	5.53	1440	199	7.02	313.8	316.5
314977	844.6	1263	226	5.59	1405	199	7.16	313.4	316.2
315877	863.3	1283	226	5.53	1427	197	7.14	313.6	316.7
316777	863.3	1270	226	4.8	1412	201	6.04	314.8	318.1
317677	727.3	1096	223	2.84	1220	206	3.42	314.2	316.5
318577	403.5	624	223	4.41	704	210	5.26	312.6	314.4
319477	624.0	991	224	4.6	1105	206	5.61	310.2	310.8
320377	666.3	1043	225	3.95	1161	208	4.78	311.4	313.2
321277	563.0	892	225	3.45	996	211	4.09	311.6	313.2
322177	483.3	772	225	3.28	863	209	3.91	311.8	314.0
323077	455.1	734	225	3	822	210	3.55	312.4	314.6
323977	417.6	666	225	2.63	749	202	3.21	312.4	314.6
324877	380.1	576	226	1.67	651	206	2	312.0	314.4
325777	253.4	346	225	0.93	400	234	0.84	311.2	313.0
326677	220.5	161	224	0.59	199	233	0.42	309.8	310.6
327577	192.4	71	224	0.54	99	217	0.37	310.8	311.6
328477	75.1	56	224	0.52	82	212	0.34	308.4	310.4
329377	23.5	48	225	0.5	73	208	0.31	306.2	306.6
330277	18.8	42	225	0.49	65	202	0.27	304.4	303.8
331177	14.1	34	225	0.48	55	194	0.23	303.6	302.6
332077	9.4	24	224	0.48	45	189	0.18	302.8	301.8
332977	4.7	15	224	0.47	35	179	0.13	302.2	301.0
333877	0.0	6	224	0.33	24	177	0.06	302.0	300.5
334777	0.0	-3	224	0	10	165	0.04	301.2	299.7
335677	0.0	0	226	0	7	83	0.01	300.3	298.5
363577	0.0	0	226	0	0	83	10	292.0	290.2
365198	0.0	0	209	0.11	0	142	0.05	292.0	290.2
365377	0.0	0	224	0.56	3	201	0.09	291.8	290.4
366277	0.0	3	224	0.56	18	202	0.1	291.5	290.4
367177	0.0	5	225	0.56	22	209	0.14	291.8	290.8
368077	4.7	14	223	0.57	31	211	0.21	291.5	290.4
368977	9.4	27	223	0.59	46	212	0.25	291.5	290.2
