#1
double	trina(68,10)
#time(s)	irradiance(W/m2)	powerAC(W)	UAC(V)	IAC(A)	powerDC(W)	VDC(V)	IDC(A)	T1(degC)	T2(degC)
#Start	date	2016-06-29
0	0.0	0	138	0	0	82	0.07	287.7	285.4
17077	0.0	0	138	0	0	82	0.07	287.7	285.4
18877	0.0	0	138	0	0	82	70	287.2	284.9
19223	0.0	0	224	0.34	0	191	0.06	287.2	284.9
19777	0.0	0	224	0.55	9	208	0.1	287.4	285.2
20677	0.0	5	225	0.56	21	213	0.13	287.2	285.0
21577	4.7	13	224	0.56	30	212	0.17	287.2	285.2
22477	4.7	19	225	0.57	37	214	0.19	287.2	285.4
23377	9.4	24	226	0.58	43	214	0.22	287.2	285.4
24277	14.1	28	225	0.58	48	215	0.23	287.2	285.6
25177	14.1	31	225	0.6	51	225	0.25	287.6	286.3
26077	14.1	36	224	0.62	57	235	0.28	287.6	286.5
26977	18.8	45	223	0.63	67	235	0.3	287.7	286.8
27877	42.2	48	224	0.65	71	246	0.32	287.9	287.2
28777	248.7	55	223	0.93	80	256	0.62	288.3	289.3
29677	300.3	127	222	2.84	160	226	3.04	289.3	292.7
30577	347.2	618	224	3.19	690	222	3.54	290.9	294.8
31477	398.8	708	224	3.51	790	220	3.95	292.9	296.8
32377	445.7	784	225	3.81	871	218	4.35	294.4	298.3
33277	497.4	857	224	4.11	951	216	4.75	295.9	300.5
34177	544.3	927	224	4.4	1027	214	5.13	297.2	301.8
35077	586.5	993	224	4.65	1102	211	5.5	298.5	303.0
35977	633.4	1050	224	4.86	1165	208	5.85	299.7	305.0
36877	680.4	1103	225	5.07	1223	207	6.19	301.2	306.6
37777	722.6	1157	225	5.29	1283	206	6.47	302.4	307.8
38677	760.1	1207	224	5.43	1339	202	6.76	302.6	307.4
39577	797.7	1237	225	5.58	1373	201	7.01	304.4	310.4
40477	839.9	1274	225	5.68	1413	198	7.24	306.2	312.2
41377	868.0	1299	225	5.78	1441	198	7.36	307.2	313.0
42277	886.8	1320	225	5.83	1465	197	7.5	307.6	313.4
43177	910.3	1336	225	5.95	1484	197	7.66	308.6	314.4
44077	929.0	1363	225	5.96	1514	195	7.76	309.8	315.2
44977	943.1	1362	224	5.98	1514	194	7.8	312.0	317.3
45877	952.5	1362	224	6.04	1514	192	7.96	313.4	319.1
46777	971.3	1376	224	6.08	1531	193	7.97	314.2	319.9
47677	980.6	1387	223	6.17	1543	194	8.02	314.4	319.9
48577	990.0	1402	226	6.07	1559	194	8	313.4	318.7
49477	990.0	1399	226	6.01	1556	193	7.93	313.4	318.3
50377	976.0	1382	225	6.06	1537	194	7.93	313.8	318.1
51277	966.6	1391	225	5.99	1546	195	7.8	314.0	317.5
52177	952.5	1371	225	5.89	1525	196	7.64	314.0	317.3
53077	929.0	1348	225	5.83	1499	196	7.55	314.2	317.5
53977	919.6	1334	225	5.65	1483	199	7.21	314.4	317.9
54877	877.4	1295	225	5.53	1440	199	7.02	313.8	316.5
55777	844.6	1263	226	5.59	1405	199	7.16	313.4	316.2
56677	863.3	1283	226	5.53	1427	197	7.14	313.6	316.7
57577	863.3	1270	226	4.8	1412	201	6.04	314.8	318.1
58477	727.3	1096	223	2.84	1220	206	3.42	314.2	316.5
59377	403.5	624	223	4.41	704	210	5.26	312.6	314.4
60277	624.0	991	224	4.6	1105	206	5.61	310.2	310.8
61177	666.3	1043	225	3.95	1161	208	4.78	311.4	313.2
62077	563.0	892	225	3.45	996	211	4.09	311.6	313.2
62977	483.3	772	225	3.28	863	209	3.91	311.8	314.0
63877	455.1	734	225	3	822	210	3.55	312.4	314.6
64777	417.6	666	225	2.63	749	202	3.21	312.4	314.6
65677	380.1	576	226	1.67	651	206	2	312.0	314.4
66577	253.4	346	225	0.93	400	234	0.84	311.2	313.0
67477	220.5	161	224	0.59	199	233	0.42	309.8	310.6
68377	192.4	71	224	0.54	99	217	0.37	310.8	311.6
69277	75.1	56	224	0.52	82	212	0.34	308.4	310.4
70177	23.5	48	225	0.5	73	208	0.31	306.2	306.6
71077	18.8	42	225	0.49	65	202	0.27	304.4	303.8
71977	14.1	34	225	0.48	55	194	0.23	303.6	302.6
72877	9.4	24	224	0.48	45	189	0.18	302.8	301.8
73777	4.7	15	224	0.47	35	179	0.13	302.2	301.0
74677	0.0	6	224	0.33	24	177	0.06	302.0	300.5
75577	0.0	-3	224	0	10	165	0.04	301.2	299.7
76477	0.0	0	226	0	7	83	0.01	300.3	298.5
