#1
double	trina(66,10)
#time(s)	irradiance(W/m2)	powerAC(W)	UAC(V)	IAC(A)	powerDC(W)	VDC(V)	IDC(A)	T1(K)	T2(K)
#Start	date	42555
0	0.0	0	225	0.43	0	199	0.08	288.4	288.8
17977	0.0	0	0	0	0	83	10	286.8	286.5
19441	0.0	0	208	0.22	0	169	0.05	286.8	286.5
19777	0.0	0	225	0.55	5	209	0.09	286.7	286.3
20677	0.0	3	224	0.55	19	213	0.13	286.3	285.9
21577	4.7	13	224	0.56	29	212	0.19	286.3	285.9
22477	9.4	23	225	0.57	40	214	0.21	286.3	285.9
23377	9.4	27	226	0.58	47	216	0.24	286.3	285.8
24277	14.1	33	225	0.58	53	214	0.24	286.3	286.1
25177	14.1	32	226	0.61	52	223	0.26	286.3	286.1
26077	14.1	38	223	0.62	60	233	0.29	286.5	286.5
26977	18.8	46	224	0.63	68	236	0.29	286.5	286.5
27877	32.8	48	224	0.65	71	248	0.32	286.7	286.7
28777	248.7	55	224	0.9	80	258	0.58	287.2	288.8
29677	300.3	120	223	2.85	152	229	3.04	287.9	291.6
30577	351.9	623	224	3.24	697	225	3.56	289.7	293.8
31477	403.5	721	226	3.57	804	222	4	291.5	295.5
32377	455.1	803	225	3.89	893	220	4.4	292.9	297.0
33277	502.1	876	224	4.23	972	219	4.81	294.6	298.7
34177	553.7	951	225	4.48	1055	217	5.19	295.7	300.1
35077	595.9	1016	225	4.76	1128	213	5.61	296.8	301.8
35977	652.2	1082	225	4.99	1201	212	5.91	298.3	303.4
36877	685.0	1135	225	5.24	1258	210	6.27	298.7	304.0
37777	741.3	1193	224	3.36	1323	208	3.94	299.9	305.2
38677	459.8	743	224	6.03	832	208	7.3	300.9	305.6
39577	858.7	1376	224	5.17	1524	204	6.36	301.0	306.2
40477	755.4	1173	225	6.04	1303	204	7.49	303.2	309.4
41377	891.5	1379	225	6.13	1530	202	7.65	303.6	309.6
42277	915.0	1400	225	6.23	1553	201	7.82	303.4	309.0
43177	938.4	1423	226	6.3	1580	200	8.02	304.2	309.8
44077	961.9	1449	225	5.44	1609	201	6.82	306.0	311.6
44977	816.4	1241	225	6.5	1382	197	8.36	306.6	311.6
45877	1013.5	1490	225	6.48	1655	197	8.35	307.4	313.2
46777	1018.2	1486	225	6.74	1651	194	8.87	307.4	313.0
47677	1088.6	1549	225	5.2	1723	195	6.72	308.8	314.6
48577	816.4	1183	225	6.38	1320	198	8.19	311.0	316.2
49477	999.4	1463	225	6.06	1625	195	7.87	310.2	315.0
50377	966.6	1389	225	6.38	1544	196	8.29	311.4	316.0
51277	1013.5	1465	225	5.79	1629	196	7.49	312.0	316.3
52177	905.6	1326	226	6.1	1476	198	7.86	311.8	316.2
53077	961.9	1403	225	4.82	1559	196	6.21	311.6	316.0
53977	755.4	1099	226	5.98	1225	203	7.5	312.4	317.1
54877	905.6	1368	224	6.49	1522	195	8.4	310.6	314.0
55777	1032.3	1483	224	5.19	1647	200	6.51	312.0	316.7
56677	797.7	1176	224	5.01	1309	197	6.41	311.8	316.3
57577	755.4	1137	225	5.42	1268	202	6.78	311.6	315.6
58477	821.1	1237	224	2.63	1374	207	3.13	311.2	315.6
59377	361.3	572	224	1.26	648	219	1.34	309.6	313.0
60277	154.8	248	225	1.96	295	223	2.12	306.6	307.6
61177	244.0	411	226	4.55	475	214	5.38	304.0	304.6
62077	633.4	1037	224	4.6	1152	206	5.59	305.0	307.0
62977	656.9	1043	224	4.01	1159	208	4.82	307.8	311.6
63877	567.7	901	224	1.73	1003	211	1.96	309.8	313.8
64777	220.5	359	225	1.69	413	215	1.87	308.4	311.6
65677	215.8	348	225	2.17	403	187	2.79	305.4	306.2
66577	323.8	461	225	1.74	525	168	2.44	304.8	306.8
67477	286.2	357	225	0.92	412	219	0.89	305.0	307.4
68377	211.1	157	226	0.83	194	229	0.75	306.0	307.4
69277	126.7	137	226	0.75	172	224	0.65	303.6	305.6
70177	70.4	114	226	0.62	147	218	0.48	301.6	302.0
71077	42.2	78	227	0.53	106	210	0.34	300.7	300.3
71977	23.5	48	226	0.49	72	201	0.21	299.7	298.9
72877	9.4	22	224	0.48	43	189	0.15	298.9	298.0
73777	4.7	9	225	0.49	29	179	0.09	298.1	297.0
74677	0.0	-1	225	0.1	16	182	0.04	297.4	296.1
75577	0.0	-1	225	0	8	83	0.01	296.8	295.3
