#1		
double	comax(5452,2)	
#time(s)	powerAC(W)	
#2016-06-26 to 2016-10-04 
0	0
22500	0
23400	11
24300	30
25200	41
26100	83
27000	77
27900	51
28800	44
29700	51
30600	80
31500	103
32400	199
33300	209
34200	207
35100	230
36000	202
36900	231
37800	321
38700	387
39600	329
40500	350
41400	394
42300	337
43200	383
44100	542
45000	418
45900	383
46800	353
47700	531
48600	839
49500	830
50400	807
51300	809
52200	795
53100	602
54000	473
54900	552
55800	501
56700	535
57600	531
58500	593
59400	582
60300	575
61200	511
62100	340
63000	238
63900	264
64800	254
65700	183
66600	142
67500	141
68400	111
69300	98
70200	84
71100	76
72000	72
72900	48
73800	0
107100	0
108000	16
108900	35
109800	45
110700	74
111600	89
112500	103
113400	54
114300	39
115200	24
116100	13
117000	42
117900	44
118800	60
119700	57
120600	72
121500	101
122400	110
123300	160
124200	184
125100	256
126000	205
126900	169
127800	155
128700	168
129600	132
130500	167
131400	130
132300	116
133200	114
134100	152
135000	153
135900	210
136800	222
137700	204
138600	344
139500	366
140400	235
141300	308
142200	317
143100	204
144000	262
144900	421
145800	321
146700	630
147600	552
148500	478
149400	557
150300	463
151200	285
152100	172
153000	108
153900	92
154800	89
155700	86
156600	54
157500	44
158400	46
159300	42
160200	36
161100	0
162000	0
192600	0
193500	0
194400	26
195300	32
196200	35
197100	39
198000	42
198900	45
199800	48
200700	51
201600	65
202500	300
203400	417
204300	476
205200	529
206100	578
207000	627
207900	672
208800	713
209700	749
210600	787
211500	795
212400	820
213300	845
214200	870
215100	891
216000	906
216900	831
217800	896
218700	887
219600	945
220500	872
221400	924
222300	735
223200	643
224100	524
225000	932
225900	934
226800	885
227700	881
228600	879
229500	822
230400	766
231300	774
232200	718
233100	449
234000	403
234900	392
235800	462
236700	464
237600	433
238500	376
239400	324
240300	267
241200	144
242100	70
243000	62
243900	53
244800	47
245700	40
246600	38
247500	19
279000	0
279900	0
280800	21
281700	31
282600	35
283500	39
284400	41
285300	44
286200	47
287100	49
288000	62
288900	286
289800	406
290700	463
291600	512
292500	559
293400	604
294300	643
295200	668
296100	702
297000	730
297900	768
298800	789
299700	813
300600	832
301500	844
302400	858
303300	874
304200	882
305100	884
306000	896
306900	890
307800	899
308700	900
309600	892
310500	889
311400	884
312300	864
313200	857
314100	830
315000	807
315900	815
316800	821
317700	728
318600	479
319500	532
320400	664
321300	567
322200	500
323100	480
324000	428
324900	392
325800	314
326700	207
327600	142
328500	62
329400	56
330300	53
331200	49
332100	45
333000	40
333900	26
365400	0
366300	0
367200	0
368100	16
369000	36
369900	41
370800	45
371700	48
372600	51
373500	55
374400	67
375300	269
376200	376
377100	428
378000	482
378900	531
379800	571
380700	620
381600	662
382500	697
383400	612
384300	709
385200	735
386100	770
387000	506
387900	470
388800	658
389700	841
390600	697
391500	783
392400	513
393300	252
394200	312
395100	321
396000	322
396900	363
397800	694
398700	762
399600	704
400500	817
401400	676
402300	786
403200	762
404100	673
405000	220
405900	491
406800	420
407700	571
408600	486
409500	511
410400	253
411300	102
412200	61
413100	58
414000	134
414900	62
415800	22
416700	0
417600	0
451800	0
452700	0
453600	29
454500	50
455400	83
456300	96
457200	94
458100	94
459000	103
459900	108
460800	131
461700	151
462600	145
463500	150
464400	160
465300	171
466200	167
467100	179
468000	324
468900	607
469800	523
470700	576
471600	484
472500	373
473400	779
474300	596
475200	684
476100	862
477000	873
477900	837
478800	822
479700	897
480600	915
481500	893
482400	895
483300	878
484200	849
485100	828
486000	838
486900	731
487800	712
488700	486
489600	793
490500	700
491400	717
492300	678
493200	627
494100	576
495000	528
495900	474
496800	417
497700	366
498600	315
499500	268
500400	184
501300	82
502200	72
503100	54
504000	50
504900	44
505800	40
506700	23
538200	0
539100	0
540000	20
540900	32
541800	36
542700	39
543600	42
544500	45
545400	49
546300	52
547200	67
548100	271
549000	387
549900	443
550800	493
551700	541
552600	578
553500	609
554400	649
555300	683
556200	716
557100	744
558000	777
558900	798
