#1         
double trina(68,10)        
#time(s) irradiance(W/m2) powerAC(W) UAC(V) IAC(A) powerDC(W) VDC(V) IDC(A) T1(degC) T2(degC)
#Start date 2016-06-29       
0 0.0 0 138 0 0 82 0.07 14.6 12.3
11249 0.0 0 138 0 0 82 0.07 14.6 12.3
13049 0.0 0 138 0 0 82 70 14.0 11.7
13395 0.0 0 224 0.34 0 191 0.06 14.0 11.7
13949 0.0 0 224 0.55 9 208 0.1 14.2 12.1
14849 0.0 5 225 0.56 21 213 0.13 14.0 11.9
15749 4.7 13 224 0.56 30 212 0.17 14.0 12.1
16649 4.7 19 225 0.57 37 214 0.19 14.0 12.3
17549 9.4 24 226 0.58 43 214 0.22 14.0 12.3
18449 14.1 28 225 0.58 48 215 0.23 14.0 12.4
19349 14.1 31 225 0.6 51 225 0.25 14.4 13.2
20249 14.1 36 224 0.62 57 235 0.28 14.4 13.3
21149 18.8 45 223 0.63 67 235 0.3 14.6 13.7
22049 42.2 48 224 0.65 71 246 0.32 14.8 14.0
22949 248.7 55 223 0.93 80 256 0.62 15.1 16.2
23849 300.3 127 222 2.84 160 226 3.04 16.2 19.6
24749 347.2 618 224 3.19 690 222 3.54 17.8 21.6
25649 398.8 708 224 3.51 790 220 3.95 19.8 23.7
26549 445.7 784 225 3.81 871 218 4.35 21.2 25.2
27449 497.4 857 224 4.11 951 216 4.75 22.7 27.3
28349 544.3 927 224 4.4 1027 214 5.13 24.0 28.7
29249 586.5 993 224 4.65 1102 211 5.5 25.4 29.9
30149 633.4 1050 224 4.86 1165 208 5.85 26.5 31.9
31049 680.4 1103 225 5.07 1223 207 6.19 28.1 33.5
31949 722.6 1157 225 5.29 1283 206 6.47 29.3 34.7
32849 760.1 1207 224 5.43 1339 202 6.76 29.5 34.3
33749 797.7 1237 225 5.58 1373 201 7.01 31.3 37.2
34649 839.9 1274 225 5.68 1413 198 7.24 33.1 39.0
35549 868.0 1299 225 5.78 1441 198 7.36 34.1 39.8
36449 886.8 1320 225 5.83 1465 197 7.5 34.5 40.2
37349 910.3 1336 225 5.95 1484 197 7.66 35.5 41.2
38249 929.0 1363 225 5.96 1514 195 7.76 36.6 42.0
39149 943.1 1362 224 5.98 1514 194 7.8 38.8 44.2
40049 952.5 1362 224 6.04 1514 192 7.96 40.2 46.0
40949 971.3 1376 224 6.08 1531 193 7.97 41.0 46.8
41849 980.6 1387 223 6.17 1543 194 8.02 41.2 46.8
42749 990.0 1402 226 6.07 1559 194 8 40.2 45.6
43649 990.0 1399 226 6.01 1556 193 7.93 40.2 45.2
44549 976.0 1382 225 6.06 1537 194 7.93 40.6 45.0
45449 966.6 1391 225 5.99 1546 195 7.8 40.8 44.4
46349 952.5 1371 225 5.89 1525 196 7.64 40.8 44.2
47249 929.0 1348 225 5.83 1499 196 7.55 41.0 44.4
48149 919.6 1334 225 5.65 1483 199 7.21 41.2 44.8
49049 877.4 1295 225 5.53 1440 199 7.02 40.6 43.4
49949 844.6 1263 226 5.59 1405 199 7.16 40.2 43.0
50849 863.3 1283 226 5.53 1427 197 7.14 40.4 43.6
51749 863.3 1270 226 4.8 1412 201 6.04 41.6 45.0
52649 727.3 1096 223 2.84 1220 206 3.42 41.0 43.4
53549 403.5 624 223 4.41 704 210 5.26 39.4 41.2
54449 624.0 991 224 4.6 1105 206 5.61 37.0 37.6
55349 666.3 1043 225 3.95 1161 208 4.78 38.2 40.0
56249 563.0 892 225 3.45 996 211 4.09 38.4 40.0
57149 483.3 772 225 3.28 863 209 3.91 38.6 40.8
58049 455.1 734 225 3 822 210 3.55 39.2 41.4
58949 417.6 666 225 2.63 749 202 3.21 39.2 41.4
59849 380.1 576 226 1.67 651 206 2 38.8 41.2
60749 253.4 346 225 0.93 400 234 0.84 38.0 39.8
61649 220.5 161 224 0.59 199 233 0.42 36.6 37.4
62549 192.4 71 224 0.54 99 217 0.37 37.6 38.4
63449 75.1 56 224 0.52 82 212 0.34 35.3 37.2
64349 23.5 48 225 0.5 73 208 0.31 33.1 33.5
65249 18.8 42 225 0.49 65 202 0.27 31.3 30.7
66149 14.1 34 225 0.48 55 194 0.23 30.5 29.5
67049 9.4 24 224 0.48 45 189 0.18 29.7 28.7
67949 4.7 15 224 0.47 35 179 0.13 29.1 27.9
68849 0.0 6 224 0.33 24 177 0.06 28.9 27.3
69749 0.0 -3 224 0 10 165 0.04 28.1 26.5
70649 0.0 0 226 0 7 83 0.01 27.1 25.4
